Industry,Contract_Plan,Billing_Cycle,Onboarding_Tier,Monthly_Contract_Value,Tenure_Months,Licensed_Seats,Active_Seats,Support_Tickets,Unresolved_Bugs,API_Calls_Monthly,Churn
HealthTech,Startup,Monthly,Self-Serve,1194.23,45,16,3,1,0,12259.0,0
E-Commerce,Growth,Multi-Year,Assisted,727.79,14,17,6,2,0,6470.0,0
FinTech,Startup,Monthly,Assisted,524.16,1,20,18,0,0,46617.0,0
FinTech,Growth,Monthly,Dedicated-CSM,1670.13,9,17,10,2,0,86287.0,0
Logistics,Startup,Monthly,Self-Serve,2585.81,9,21,17,3,2,58341.0,0
Media,Startup,Monthly,Dedicated-CSM,2737.73,60,18,11,3,2,9971.0,0
HealthTech,Startup,Annual,Dedicated-CSM,2182.5,16,24,22,5,2,17126.0,0
HealthTech,Growth,Monthly,Self-Serve,877.64,18,23,21,2,0,39529.0,0
E-Commerce,Startup,Multi-Year,Assisted,2458.65,22,17,9,2,0,49040.0,0
HealthTech,Growth,Annual,Assisted,1741.84,26,16,7,5,5,3750.0,1
FinTech,Growth,Quarterly,Dedicated-CSM,1500.95,18,30,20,1,1,47603.0,0
FinTech,Growth,Quarterly,Assisted,796.37,4,17,12,3,1,66651.0,0
EdTech,Growth,Annual,Assisted,878.01,37,22,13,1,0,10005.0,0
EdTech,Enterprise,Monthly,Assisted,1426.25,23,15,12,1,0,14133.0,0
FinTech,Startup,Annual,Self-Serve,10656.16,24,19,6,1,1,14981.0,0
FinTech,Growth,Monthly,Self-Serve,1730.31,72,13,6,2,1,140513.0,0
FinTech,Startup,Monthly,Assisted,796.71,29,14,10,3,0,26129.0,0
EdTech,Startup,Quarterly,Assisted,660.15,31,21,8,1,0,37812.0,0
FinTech,Growth,Quarterly,Assisted,881.83,54,24,13,1,0,,0
FinTech,Growth,Annual,Assisted,8524.5,2,21,20,3,2,23218.0,1
EdTech,Enterprise,Monthly,Self-Serve,953.97,12,19,13,1,0,5578.0,0
FinTech,Growth,Annual,Assisted,2895.29,15,15,14,4,2,53112.0,0
EdTech,Custom,Monthly,Self-Serve,973.07,7,23,17,3,0,55022.0,0
FinTech,Startup,Monthly,Dedicated-CSM,1672.39,32,14,10,1,0,15092.0,0
FinTech,Startup,Monthly,Dedicated-CSM,2625.39,25,21,14,4,2,1793.0,1
FinTech,Startup,Monthly,Assisted,823.76,22,15,4,3,2,54734.0,0
EdTech,Startup,Monthly,Self-Serve,776.7,72,24,14,4,1,60773.0,0
Logistics,Growth,Quarterly,Self-Serve,5486.46,5,21,8,4,1,1321.0,0
Logistics,Growth,Annual,Assisted,3093.02,23,29,28,2,1,59075.0,0
HealthTech,Startup,Monthly,Assisted,2622.99,14,24,9,1,1,139786.0,0
EdTech,Custom,Quarterly,Assisted,2615.43,6,21,8,0,0,9849.0,0
FinTech,Enterprise,Annual,Self-Serve,1979.58,3,20,13,3,0,36837.0,0
HealthTech,Startup,Annual,Assisted,7443.6,40,18,10,4,1,59664.0,0
Logistics,Startup,Quarterly,Assisted,1390.37,16,21,4,1,1,13073.0,0
FinTech,Startup,Monthly,Self-Serve,2187.85,31,26,7,3,2,69625.0,0
FinTech,Startup,Annual,Assisted,390.23,14,18,15,3,1,101281.0,0
FinTech,Startup,Quarterly,Self-Serve,664.33,4,19,11,2,2,84249.0,0
FinTech,Growth,Monthly,Assisted,482.66,7,25,7,1,0,14981.0,0
FinTech,Startup,Monthly,Dedicated-CSM,3955.86,8,21,12,0,0,81537.0,0
E-Commerce,Growth,Annual,Assisted,152.99,64,19,7,0,0,26666.0,0
HealthTech,Custom,Monthly,Dedicated-CSM,951.5,1,32,12,2,0,15494.0,1
Logistics,Growth,Multi-Year,Assisted,150.0,72,22,21,5,4,9194.0,0
Logistics,Custom,Monthly,Self-Serve,660.77,70,24,11,0,0,119835.0,0
HealthTech,Startup,Annual,Assisted,882.44,72,20,4,2,0,27835.0,0
HealthTech,Growth,Monthly,Assisted,4346.56,11,13,12,2,0,100396.0,0
HealthTech,Growth,Quarterly,Self-Serve,1876.44,59,12,10,2,0,8691.0,0
E-Commerce,Startup,Annual,,659.73,9,21,8,5,2,72834.0,0
HealthTech,Startup,Monthly,Assisted,3314.52,1,23,12,2,1,5827.0,0
E-Commerce,Growth,Quarterly,Self-Serve,1359.89,4,26,23,4,1,886.0,0
HealthTech,Growth,Monthly,Self-Serve,1382.89,52,21,10,2,1,265411.0,0
E-Commerce,Growth,Monthly,Assisted,481.9,1,17,11,1,0,3819.0,0
HealthTech,Growth,Monthly,Self-Serve,577.37,14,20,12,2,1,30952.0,0
HealthTech,Growth,Annual,Dedicated-CSM,664.26,1,22,11,3,1,105345.0,0
Media,Startup,Monthly,Self-Serve,1393.39,6,17,12,3,1,85568.0,0
EdTech,Startup,Monthly,Assisted,1431.11,1,16,9,1,0,31855.0,0
FinTech,Startup,Monthly,Assisted,4976.48,35,15,3,0,0,47189.0,0
Logistics,Startup,Annual,Assisted,1858.08,16,24,20,2,1,49673.0,0
E-Commerce,Custom,Annual,Self-Serve,150.0,41,30,8,1,1,5817.0,0
Logistics,Growth,Monthly,Dedicated-CSM,1674.46,20,19,10,3,1,16767.0,0
EdTech,Enterprise,Monthly,Assisted,390.52,63,19,12,3,1,17904.0,0
HealthTech,Startup,Multi-Year,Dedicated-CSM,589.29,12,18,13,2,1,23751.0,0
FinTech,Growth,Monthly,Self-Serve,671.6,18,20,10,2,2,16005.0,0
HealthTech,Startup,Annual,Self-Serve,762.16,15,18,14,5,3,14484.0,0
E-Commerce,Startup,Annual,Assisted,416.18,11,18,5,3,1,21909.0,0
E-Commerce,Startup,Annual,Self-Serve,1592.34,33,25,18,1,0,23839.0,0
HealthTech,Enterprise,Monthly,Assisted,403.76,18,22,18,1,0,33396.0,0
FinTech,Growth,Annual,Self-Serve,1813.78,29,30,27,1,1,9530.0,0
Logistics,Growth,Annual,Assisted,8968.07,27,21,13,4,2,77638.0,0
Media,Growth,Quarterly,Dedicated-CSM,432.7,3,19,8,1,1,98545.0,0
E-Commerce,Custom,Monthly,Assisted,1051.7,18,27,8,5,2,14262.0,0
FinTech,Startup,Monthly,Dedicated-CSM,156.81,4,15,7,1,1,6580.0,0
HealthTech,Startup,Monthly,Assisted,1037.12,15,23,14,0,0,64063.0,0
FinTech,Startup,Quarterly,Assisted,2313.02,20,20,7,1,0,129013.0,0
Media,Enterprise,Quarterly,Dedicated-CSM,2471.41,72,19,18,0,0,1789.0,0
FinTech,Custom,Monthly,Dedicated-CSM,1430.47,1,19,17,8,4,727.0,1
E-Commerce,Startup,Quarterly,Assisted,2852.28,1,16,3,6,0,10132.0,1
HealthTech,Enterprise,Monthly,Self-Serve,11662.65,1,12,7,1,0,57726.0,1
E-Commerce,Enterprise,Annual,Assisted,5741.4,9,21,17,1,1,167308.0,0
EdTech,Startup,Multi-Year,Self-Serve,859.08,31,19,7,4,3,69391.0,0
Logistics,Growth,Monthly,Assisted,390.16,33,18,11,1,0,42552.0,0
FinTech,Growth,Monthly,Assisted,948.4,24,18,9,2,1,60290.0,0
FinTech,Custom,Monthly,Dedicated-CSM,598.88,40,24,8,3,2,13114.0,0
FinTech,Startup,Annual,Dedicated-CSM,1965.78,7,22,15,1,0,58326.0,0
Media,Enterprise,Annual,Assisted,490.77,1,17,16,0,0,19389.0,0
Logistics,Startup,Multi-Year,Self-Serve,1259.04,1,21,10,0,0,12579.0,0
E-Commerce,Enterprise,Monthly,Dedicated-CSM,2730.7,34,22,14,1,1,13496.0,0
E-Commerce,Growth,Multi-Year,,1229.56,23,26,12,2,1,55099.0,0
EdTech,Growth,Monthly,Assisted,599.22,21,20,18,3,0,72884.0,0
FinTech,Enterprise,Annual,Self-Serve,3635.83,7,13,11,3,2,43590.0,0
Media,Enterprise,Monthly,Self-Serve,271.2,8,23,7,2,1,3299.0,0
HealthTech,Enterprise,Annual,Dedicated-CSM,1013.71,57,22,20,0,0,1938.0,0
HealthTech,Startup,Quarterly,Self-Serve,1292.83,1,19,6,3,0,12242.0,0
E-Commerce,Growth,Annual,Assisted,1357.67,26,18,4,1,1,16876.0,0
FinTech,Startup,Annual,Self-Serve,1561.53,6,22,15,2,0,25945.0,0
FinTech,Growth,Monthly,Dedicated-CSM,2250.42,1,13,6,2,0,3954.0,0
EdTech,Growth,Monthly,Dedicated-CSM,1299.72,24,21,13,0,0,64578.0,0
FinTech,Growth,Annual,Self-Serve,979.61,7,15,10,4,1,62153.0,0
E-Commerce,Growth,Monthly,Self-Serve,947.24,23,23,5,3,0,21284.0,0
FinTech,Custom,Monthly,Assisted,796.49,22,22,9,4,1,41391.0,0
HealthTech,Startup,Quarterly,Self-Serve,2616.03,13,17,9,1,0,5319.0,1
HealthTech,Growth,Quarterly,Assisted,773.13,27,24,9,5,3,26826.0,1
HealthTech,Growth,Monthly,Self-Serve,2751.1,15,21,5,5,2,97443.0,1
EdTech,Startup,Monthly,Self-Serve,1361.24,6,16,4,4,1,54032.0,1
HealthTech,Startup,Monthly,Assisted,860.0,23,22,18,4,1,5488.0,0
E-Commerce,Custom,Monthly,Self-Serve,2265.72,16,24,22,0,0,94055.0,0
E-Commerce,Enterprise,Annual,Dedicated-CSM,721.74,1,24,7,0,0,57081.0,0
EdTech,Custom,Multi-Year,Self-Serve,2304.13,41,22,8,0,0,30170.0,0
Media,Custom,Annual,Self-Serve,1604.9,14,30,21,1,0,58898.0,0
EdTech,Startup,Monthly,Dedicated-CSM,806.84,36,22,21,2,1,9487.0,0
FinTech,Growth,Multi-Year,Assisted,2099.26,38,15,6,4,2,39979.0,0
FinTech,Growth,Quarterly,Assisted,2131.54,10,24,21,2,0,48107.0,0
HealthTech,Growth,Monthly,Self-Serve,3582.77,12,23,13,4,1,131378.0,1
E-Commerce,Growth,Multi-Year,Assisted,3044.9,9,21,20,2,1,3462.0,0
FinTech,Growth,Annual,Assisted,2033.64,10,25,7,2,1,23483.0,0
E-Commerce,Growth,Annual,Self-Serve,513.65,40,25,24,1,1,138084.0,0
E-Commerce,Growth,Annual,Dedicated-CSM,10735.37,27,22,12,2,1,12245.0,0
HealthTech,Startup,Monthly,Assisted,406.23,2,12,11,1,1,83886.0,0
EdTech,Growth,Monthly,Self-Serve,3001.52,16,25,14,1,1,100.0,0
FinTech,Growth,Annual,Assisted,1932.54,72,28,17,2,0,1311.0,0
FinTech,Growth,Monthly,Assisted,493.73,16,21,17,3,1,19847.0,0
EdTech,Startup,Monthly,Self-Serve,1205.13,27,16,12,1,0,73160.0,0
E-Commerce,Enterprise,Annual,Assisted,1252.7,26,19,13,2,1,5499.0,0
EdTech,Startup,Annual,Self-Serve,4063.28,7,25,13,4,1,24132.0,0
HealthTech,Growth,Quarterly,Assisted,730.47,8,22,18,4,1,7048.0,0
FinTech,Enterprise,Annual,Assisted,1072.07,23,17,16,2,0,12654.0,0
Logistics,Growth,Annual,Assisted,183.89,12,14,2,1,0,34958.0,0
EdTech,Startup,Annual,Dedicated-CSM,5852.06,15,24,16,1,0,19220.0,0
EdTech,Growth,Monthly,Self-Serve,539.21,22,16,14,2,1,11907.0,0
HealthTech,Growth,Monthly,Assisted,1768.48,27,19,13,5,1,25002.0,0
E-Commerce,Enterprise,Monthly,Assisted,1228.81,5,24,20,4,2,60375.0,0
HealthTech,Enterprise,Monthly,Assisted,1232.38,2,24,21,3,1,6359.0,0
FinTech,Growth,Monthly,Assisted,2666.13,6,24,19,2,1,32657.0,0
Media,Growth,Monthly,Self-Serve,5544.56,12,20,15,2,0,16060.0,0
FinTech,Startup,Quarterly,Self-Serve,1658.67,7,29,28,6,3,23791.0,1
Media,Startup,Multi-Year,Self-Serve,2337.45,15,23,20,3,1,86174.0,0
HealthTech,Growth,Monthly,Dedicated-CSM,1771.46,1,21,17,3,2,132771.0,0
FinTech,Growth,Annual,Self-Serve,3180.84,12,23,6,3,0,13918.0,0
E-Commerce,Growth,Annual,Dedicated-CSM,903.72,8,21,8,2,0,49709.0,0
Logistics,Startup,Monthly,Assisted,3341.19,13,15,9,1,0,56455.0,0
EdTech,Startup,Multi-Year,Self-Serve,3442.4,9,17,13,0,0,92412.0,0
Logistics,Growth,Quarterly,Assisted,3361.55,6,19,8,1,0,114653.0,0
EdTech,Startup,Monthly,Dedicated-CSM,764.23,42,10,2,2,2,31555.0,0
EdTech,Enterprise,Annual,Dedicated-CSM,1160.86,3,17,7,1,0,202494.0,0
Logistics,Startup,Monthly,Self-Serve,1641.8,20,14,11,4,1,176729.0,0
FinTech,Growth,Annual,Self-Serve,417.71,46,15,13,6,3,35308.0,0
E-Commerce,Custom,Monthly,Self-Serve,5196.2,13,19,17,1,0,39048.0,0
FinTech,Startup,Annual,Self-Serve,1325.53,37,13,6,2,0,55093.0,0
Media,Growth,Monthly,Assisted,1705.03,2,24,11,2,1,23406.0,0
Media,Startup,Annual,Dedicated-CSM,820.2,12,15,7,3,1,,0
FinTech,Growth,Monthly,Self-Serve,433.61,10,21,10,3,1,36107.0,0
EdTech,Growth,Annual,Assisted,801.57,1,22,16,2,0,1804.0,0
Media,Growth,Annual,Assisted,1613.76,10,23,11,4,1,95774.0,0
FinTech,Growth,Quarterly,Self-Serve,2374.2,8,18,3,1,1,141043.0,1
E-Commerce,Enterprise,Annual,Self-Serve,1536.9,19,18,9,1,1,1329.0,0
Media,Startup,Quarterly,Assisted,1798.51,50,21,7,2,0,77857.0,0
FinTech,Startup,Annual,Dedicated-CSM,1005.79,1,22,4,5,2,24373.0,0
EdTech,Enterprise,Quarterly,Assisted,2042.26,7,18,10,1,0,44050.0,0
HealthTech,Growth,Annual,Self-Serve,4723.98,10,25,9,4,1,34657.0,0
Media,Enterprise,Annual,Self-Serve,2438.34,10,27,15,2,1,40071.0,0
Media,Growth,Monthly,Self-Serve,2665.4,26,23,9,2,1,34178.0,0
Media,Enterprise,Monthly,Assisted,1719.72,10,20,13,0,0,95994.0,0
E-Commerce,Growth,Monthly,Assisted,373.28,1,27,26,4,2,57523.0,1
Logistics,Enterprise,Annual,Self-Serve,551.16,22,16,10,5,2,26606.0,0
Logistics,Custom,Monthly,Dedicated-CSM,1971.69,38,16,11,5,0,58329.0,0
HealthTech,Growth,Quarterly,Assisted,1327.03,12,21,19,0,0,167689.0,0
Logistics,Startup,Annual,Assisted,1946.65,15,8,3,2,2,4186.0,1
FinTech,Startup,Monthly,Dedicated-CSM,5568.94,3,15,4,1,0,24559.0,1
E-Commerce,Startup,Annual,Self-Serve,2482.77,4,22,9,1,0,102186.0,0
FinTech,Startup,Monthly,Dedicated-CSM,3905.16,4,16,8,2,2,67172.0,1
FinTech,Startup,Monthly,Self-Serve,1451.68,10,22,15,5,1,136614.0,0
FinTech,Growth,Annual,Self-Serve,674.43,47,31,6,2,0,2031.0,0
EdTech,Growth,Monthly,Dedicated-CSM,1275.14,13,13,11,2,0,99307.0,0
HealthTech,Growth,Monthly,Dedicated-CSM,675.84,3,26,6,2,0,78463.0,0
EdTech,Growth,Annual,Assisted,5036.92,5,18,16,2,0,84381.0,0
FinTech,Startup,Monthly,Assisted,2622.37,8,17,16,2,1,45474.0,0
HealthTech,Startup,Multi-Year,Assisted,2084.82,17,20,19,2,1,2666.0,0
E-Commerce,Startup,Multi-Year,Dedicated-CSM,3829.74,10,24,20,3,1,38732.0,0
EdTech,Growth,Monthly,Self-Serve,240.56,8,16,5,1,0,26191.0,0
HealthTech,Startup,Monthly,Dedicated-CSM,2208.17,14,19,14,2,1,37437.0,1
E-Commerce,Startup,Annual,Assisted,439.64,4,19,6,2,1,67411.0,0
Logistics,Growth,Quarterly,Assisted,1331.2,1,19,17,4,3,45312.0,1
E-Commerce,Enterprise,Monthly,Assisted,1027.67,1,15,6,4,1,17305.0,0
FinTech,Startup,Annual,Assisted,2350.72,5,18,8,2,0,45753.0,0
FinTech,Growth,Monthly,Dedicated-CSM,1626.13,1,13,12,2,1,4340.0,0
Logistics,Growth,Annual,Assisted,4202.14,7,17,3,3,0,269.0,0
FinTech,Enterprise,Monthly,Dedicated-CSM,803.03,26,19,6,2,2,25669.0,0
Logistics,Custom,Monthly,Self-Serve,2447.32,22,28,15,0,0,70773.0,0
E-Commerce,Startup,Monthly,Assisted,1537.46,16,22,16,2,1,86477.0,0
Media,Startup,Multi-Year,Dedicated-CSM,333.62,34,20,14,1,0,39908.0,0
EdTech,Enterprise,Annual,Assisted,613.5,5,15,11,3,1,101250.0,0
Media,Growth,Annual,Assisted,1179.21,38,25,22,2,0,6729.0,0
HealthTech,Growth,Monthly,Assisted,3447.65,9,21,6,1,1,166359.0,0
EdTech,Growth,Monthly,Dedicated-CSM,1986.57,9,17,10,4,3,127399.0,1
HealthTech,Growth,Monthly,Dedicated-CSM,496.52,9,26,20,1,0,45719.0,0
E-Commerce,Custom,Quarterly,Self-Serve,1188.84,1,11,7,6,1,3026.0,1
E-Commerce,Custom,Quarterly,Dedicated-CSM,7443.79,66,19,10,4,1,30275.0,0
Logistics,Enterprise,Annual,Assisted,1472.24,2,18,3,2,1,9878.0,0
Media,Startup,Monthly,Self-Serve,1014.12,7,13,3,1,0,49500.0,0
EdTech,Enterprise,Multi-Year,Dedicated-CSM,2034.45,6,20,5,2,1,10534.0,0
HealthTech,Startup,Monthly,Assisted,2562.87,1,18,8,7,1,32869.0,1
HealthTech,Startup,Multi-Year,Dedicated-CSM,908.92,2,16,4,4,0,11510.0,0
EdTech,Enterprise,Monthly,Self-Serve,2053.27,1,17,9,3,1,10035.0,0
FinTech,Startup,Quarterly,Self-Serve,1012.77,6,21,7,1,0,14246.0,0
FinTech,Startup,Monthly,Assisted,2468.65,36,19,15,5,2,1482.0,0
HealthTech,Startup,Monthly,Self-Serve,1547.26,7,15,13,2,0,62959.0,0
HealthTech,Enterprise,Quarterly,Assisted,2017.62,2,20,10,3,2,18317.0,1
HealthTech,Growth,Monthly,Self-Serve,702.53,18,20,12,2,1,59884.0,0
FinTech,Growth,Monthly,Assisted,666.41,72,21,20,2,1,52990.0,0
FinTech,Startup,Annual,Self-Serve,2991.93,4,20,12,0,0,3420.0,0
FinTech,Enterprise,Annual,Self-Serve,1252.02,5,27,26,5,1,18701.0,0
Media,Enterprise,Annual,Assisted,1706.64,64,19,5,1,0,41835.0,0
HealthTech,Startup,Monthly,Self-Serve,1032.32,3,22,19,3,0,125297.0,0
HealthTech,Growth,Annual,Assisted,2875.32,12,20,11,1,0,25651.0,0
EdTech,Startup,Quarterly,Dedicated-CSM,799.0,4,22,4,2,1,35139.0,0
FinTech,Custom,Monthly,Assisted,1193.61,48,15,14,0,0,69346.0,0
Media,Growth,Quarterly,Dedicated-CSM,2612.58,71,18,17,1,1,81303.0,0
EdTech,Custom,Monthly,Self-Serve,3630.13,30,18,9,1,1,128419.0,1
FinTech,Startup,Monthly,Self-Serve,858.17,6,15,14,2,1,34377.0,0
HealthTech,Enterprise,Monthly,Dedicated-CSM,7084.97,9,20,6,1,1,10774.0,1
Logistics,Enterprise,Monthly,Assisted,1748.05,4,29,21,3,2,72285.0,0
Media,Growth,Annual,Assisted,551.98,39,19,6,3,0,6709.0,0
E-Commerce,Custom,Annual,Assisted,1832.97,44,18,7,0,0,27094.0,0
E-Commerce,Growth,Multi-Year,Assisted,967.24,9,17,13,2,1,49472.0,0
FinTech,Startup,Annual,Self-Serve,1937.12,19,15,7,6,2,58859.0,0
Media,Growth,Monthly,Assisted,1291.52,3,10,2,2,0,66031.0,1
FinTech,Enterprise,Annual,Assisted,1426.72,10,17,9,2,0,10755.0,0
Media,Growth,Annual,Assisted,617.17,17,18,6,3,1,199904.0,0
E-Commerce,Startup,Monthly,Dedicated-CSM,3107.43,8,23,17,7,3,9826.0,1
E-Commerce,Growth,Quarterly,Self-Serve,501.34,7,22,7,4,0,5050.0,0
E-Commerce,Startup,Multi-Year,Self-Serve,521.94,1,16,13,3,1,54540.0,0
FinTech,Growth,Quarterly,Dedicated-CSM,1830.34,29,15,6,2,2,120397.0,0
FinTech,Growth,Multi-Year,Assisted,5231.31,39,21,10,4,2,40979.0,0
FinTech,Enterprise,Monthly,Assisted,992.57,62,13,5,3,0,45253.0,0
FinTech,Startup,Monthly,Self-Serve,2430.44,22,19,13,3,0,38662.0,0
EdTech,Growth,Monthly,Self-Serve,3335.37,14,20,5,2,1,2184.0,0
HealthTech,Startup,Quarterly,Assisted,2677.08,5,18,10,3,2,57177.0,0
FinTech,Startup,Annual,Self-Serve,1028.11,72,20,9,2,1,22174.0,0
Media,Enterprise,Multi-Year,Dedicated-CSM,529.86,16,17,15,3,1,137189.0,0
Logistics,Custom,Monthly,Dedicated-CSM,205.12,20,20,5,1,0,10338.0,0
Media,Growth,Monthly,Dedicated-CSM,1071.25,20,24,20,3,1,17985.0,0
Media,Enterprise,Annual,Self-Serve,3645.96,33,25,8,4,2,35145.0,0
FinTech,Enterprise,Annual,Assisted,515.15,1,15,4,3,2,32443.0,1
HealthTech,Enterprise,Monthly,Self-Serve,2428.86,4,19,6,1,0,25567.0,0
EdTech,Startup,Quarterly,Self-Serve,597.27,19,17,4,2,1,18873.0,0
EdTech,Custom,Annual,Self-Serve,1465.81,40,17,10,2,1,7961.0,0
FinTech,Growth,Annual,Self-Serve,2444.57,20,22,21,3,2,85997.0,0
Logistics,Startup,Quarterly,Dedicated-CSM,764.66,9,22,5,1,0,29780.0,0
FinTech,Startup,Monthly,Self-Serve,1548.3,8,25,14,3,0,42543.0,0
FinTech,Growth,Multi-Year,Self-Serve,941.22,24,25,12,3,1,39544.0,0
E-Commerce,Startup,Annual,Dedicated-CSM,2439.08,24,22,10,1,1,42841.0,0
E-Commerce,Startup,Monthly,Self-Serve,1636.02,16,23,10,0,0,61012.0,0
E-Commerce,Startup,Monthly,Assisted,1405.34,6,22,20,0,0,49629.0,0
FinTech,Enterprise,Annual,Self-Serve,5037.16,46,19,4,3,2,16004.0,0
Logistics,Enterprise,Monthly,Self-Serve,2351.86,14,21,17,2,1,40339.0,0
HealthTech,Startup,Monthly,Dedicated-CSM,744.86,28,18,7,6,0,14020.0,0
FinTech,Enterprise,Quarterly,Self-Serve,1245.16,4,18,9,0,0,44438.0,0
Logistics,Enterprise,Monthly,Assisted,1255.75,7,20,10,3,1,28276.0,1
Media,Enterprise,Annual,Self-Serve,1434.07,37,20,8,3,2,2011.0,1
Logistics,Startup,Monthly,Self-Serve,11451.01,1,20,5,5,4,66210.0,1
Logistics,Growth,Annual,Self-Serve,1835.78,12,28,8,2,1,16056.0,0
EdTech,Custom,Monthly,Self-Serve,237.34,11,22,9,1,1,126408.0,1
E-Commerce,Growth,Monthly,Self-Serve,844.4,25,31,26,2,0,16464.0,0
FinTech,Startup,Monthly,Assisted,259.17,5,20,6,5,2,284535.0,1
HealthTech,Growth,Multi-Year,Assisted,1011.99,4,20,15,2,0,31083.0,0
HealthTech,Growth,Annual,Self-Serve,247.35,46,25,10,1,0,1338.0,0
HealthTech,Growth,Monthly,Assisted,638.52,15,20,18,5,3,3967.0,0
EdTech,Startup,Annual,Dedicated-CSM,367.74,1,17,9,4,3,4283.0,0
E-Commerce,Startup,Annual,Dedicated-CSM,1856.66,3,14,4,1,0,2893.0,0
FinTech,Enterprise,Multi-Year,Assisted,1340.04,72,23,22,2,0,15584.0,0
FinTech,Enterprise,Monthly,Dedicated-CSM,1732.84,3,21,7,1,0,19622.0,0
EdTech,Startup,Annual,Self-Serve,1225.53,16,18,11,2,1,5899.0,0
FinTech,Custom,Monthly,Self-Serve,409.46,9,23,15,2,0,28824.0,0
Logistics,Startup,Monthly,Assisted,2072.46,39,16,7,3,1,22734.0,0
E-Commerce,Growth,Multi-Year,Assisted,6862.94,25,16,15,2,1,50575.0,0
E-Commerce,Enterprise,Quarterly,Assisted,1896.62,16,17,14,4,3,10899.0,0
E-Commerce,Enterprise,Monthly,Assisted,932.59,1,15,12,1,0,122662.0,0
Logistics,Custom,Monthly,Dedicated-CSM,397.88,38,17,16,5,3,,0
HealthTech,Startup,Annual,Dedicated-CSM,619.02,10,20,11,3,1,48873.0,0
EdTech,Enterprise,Annual,,1968.61,48,23,6,2,0,2016.0,0
E-Commerce,Startup,Monthly,Assisted,3334.74,12,22,17,2,1,40946.0,0
HealthTech,Enterprise,Multi-Year,Self-Serve,1671.93,21,22,11,1,1,22951.0,0
Logistics,Enterprise,Monthly,Self-Serve,2643.62,1,22,7,2,0,128964.0,0
EdTech,Growth,Monthly,Self-Serve,2444.33,24,17,9,1,0,108422.0,0
EdTech,Startup,Multi-Year,Assisted,2060.19,7,19,17,2,1,50757.0,0
Logistics,Enterprise,Monthly,Self-Serve,765.32,7,18,6,2,0,73019.0,0
Logistics,Startup,Monthly,Dedicated-CSM,1552.83,2,16,14,2,1,51725.0,0
EdTech,Startup,Quarterly,Self-Serve,651.24,2,23,12,1,0,856.0,0
Logistics,Enterprise,Annual,Assisted,1359.42,3,23,7,2,0,60722.0,0
EdTech,Growth,Monthly,Self-Serve,1774.43,7,22,19,3,0,9745.0,0
EdTech,Enterprise,Multi-Year,Self-Serve,5580.12,40,20,19,0,0,57375.0,0
E-Commerce,Growth,Annual,Dedicated-CSM,439.98,8,22,9,2,0,528.0,0
EdTech,Startup,Monthly,Assisted,2016.83,23,21,9,1,0,18619.0,0
FinTech,Enterprise,Annual,Dedicated-CSM,4717.58,1,18,9,1,0,36379.0,0
Logistics,Growth,Monthly,Dedicated-CSM,2552.99,16,11,9,3,2,20261.0,1
Logistics,Startup,Monthly,Self-Serve,2718.96,11,18,3,4,2,59206.0,1
FinTech,Enterprise,Annual,Self-Serve,2207.33,68,21,7,2,0,36982.0,0
Logistics,Growth,Multi-Year,Dedicated-CSM,4038.32,33,20,15,1,1,160530.0,0
FinTech,Growth,Monthly,Dedicated-CSM,531.47,10,18,9,3,2,22144.0,0
HealthTech,Growth,Monthly,Assisted,412.39,26,21,9,2,1,63981.0,0
EdTech,Enterprise,Quarterly,Assisted,1332.24,3,22,19,6,2,90346.0,0
FinTech,Enterprise,Monthly,Assisted,213.37,14,19,17,1,0,14626.0,0
Logistics,Enterprise,Monthly,Self-Serve,3812.53,1,23,22,1,1,70148.0,0
Logistics,Startup,Monthly,Assisted,3780.49,7,22,9,0,0,24987.0,0
E-Commerce,Enterprise,Annual,Dedicated-CSM,926.72,4,21,19,3,1,6890.0,0
FinTech,Growth,Monthly,Assisted,977.35,22,17,13,2,1,183.0,0
HealthTech,Growth,Monthly,Self-Serve,1259.54,12,26,8,0,0,68082.0,0
E-Commerce,Growth,Annual,Self-Serve,1399.99,25,26,17,2,0,10305.0,0
Media,Enterprise,Annual,Self-Serve,1492.34,13,27,5,3,1,2628.0,0
E-Commerce,Enterprise,Quarterly,Self-Serve,2152.74,1,20,15,2,1,34379.0,0
HealthTech,Startup,Monthly,Dedicated-CSM,1156.63,23,18,14,1,0,21286.0,0
E-Commerce,Growth,Annual,Self-Serve,2986.07,32,25,20,3,0,58851.0,0
E-Commerce,Enterprise,Monthly,Self-Serve,1956.78,42,20,6,0,0,5679.0,0
EdTech,Startup,Monthly,Self-Serve,799.58,15,13,9,2,0,7116.0,1
FinTech,Custom,Annual,Assisted,4166.56,25,21,7,3,0,25885.0,0
EdTech,Growth,Monthly,Assisted,422.2,25,16,15,3,1,36741.0,0
E-Commerce,Growth,Monthly,Self-Serve,1238.5,3,13,9,3,2,86919.0,1
Media,Startup,Monthly,Self-Serve,3046.9,3,11,3,0,0,44049.0,0
HealthTech,Startup,Monthly,Self-Serve,724.43,1,21,7,2,1,116445.0,0
E-Commerce,Custom,Monthly,Assisted,1742.58,6,23,16,6,1,12280.0,0
Media,Startup,Multi-Year,Self-Serve,2125.66,11,14,8,3,2,45344.0,0
FinTech,Enterprise,Monthly,Dedicated-CSM,644.55,72,24,18,0,0,53245.0,0
